epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.00322,1.99311,5.80094,1.11359,0,0,0,0,1.46995,4.21212,0.94987,0.0003625,0.0003625,0.0003625
2,13.4562,1.28473,2.7163,0.90698,0.00179,0.60509,0.28723,0.17116,1.29485,3.7547,0.90868,0.000722897,0.000722897,0.000722897
3,19.8797,1.19823,2.07556,0.91342,1,0.17017,0.68613,0.45582,1.28355,2.74619,0.97684,0.00106844,0.00106844,0.00106844
4,25.9924,1.12766,1.57252,0.9076,0.91053,0.6716,0.8503,0.60026,1.23629,1.86804,0.94085,0.00117575,0.00117575,0.00117575
5,32.128,1.06443,1.25083,0.89119,0.90785,0.79738,0.8875,0.61147,1.28004,0.94603,1.01206,0.001151,0.001151,0.001151
6,38.2594,1.06245,1.06109,0.88655,0.87921,0.8516,0.91326,0.65748,1.14697,0.87647,0.95483,0.00112625,0.00112625,0.00112625
7,44.4032,0.98613,0.94606,0.87065,0.88037,0.88025,0.94497,0.6851,1.04686,0.81304,0.93778,0.0011015,0.0011015,0.0011015
8,50.7384,0.97287,0.85598,0.86948,0.91668,0.88417,0.93956,0.67555,1.07095,0.73915,0.93793,0.00107675,0.00107675,0.00107675
9,56.8879,0.92635,0.77212,0.86426,0.92771,0.91816,0.94711,0.69703,1.0706,0.70198,0.94814,0.001052,0.001052,0.001052
10,63.0566,0.95891,0.74563,0.86831,0.91504,0.92883,0.93762,0.68906,1.06818,0.66985,0.94026,0.00102725,0.00102725,0.00102725
11,69.1835,0.89268,0.6845,0.8645,0.92337,0.93119,0.96332,0.69852,1.02506,0.64674,0.91521,0.0010025,0.0010025,0.0010025
12,75.2693,0.92092,0.66656,0.8578,0.93252,0.91531,0.95553,0.7102,1.0196,0.66282,0.91767,0.00097775,0.00097775,0.00097775
