epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.93691,2.05978,6.43747,1.15205,0.00324,0.99275,0.00484,0.00242,1.35337,3.84532,0.87238,0.00030006,0.00030006,0.00030006
2,9.19281,0.96626,2.61843,0.8403,0.00312,0.95148,0.00358,0.00248,1.00187,3.71027,0.8274,0.000604578,0.000604578,0.000604578
3,13.5449,0.82312,1.92646,0.81524,0.00329,0.98745,0.38836,0.27787,0.77899,3.35888,0.76685,0.000896553,0.000896553,0.000896553
4,18.0304,0.81975,1.44791,0.82683,0.00323,0.98383,0.77904,0.59897,0.87122,2.82208,0.81557,0.00117599,0.00117599,0.00117599
5,22.2208,0.79648,1.19457,0.82369,0.97131,0.79859,0.95818,0.82826,0.605,1.58079,0.84163,0.00144288,0.00144288,0.00144288
6,26.3882,0.7331,0.98081,0.82213,0.84145,0.84148,0.90504,0.78788,0.61815,1.47416,0.82885,0.00150197,0.00150197,0.00150197
7,30.4117,0.71578,0.85228,0.81628,0.96839,0.92585,0.97173,0.81682,0.61229,1.08162,0.8231,0.00146896,0.00146896,0.00146896
8,34.6438,0.69272,0.77667,0.80497,0.94533,0.94572,0.98679,0.88332,0.5513,0.87168,0.81294,0.00143595,0.00143595,0.00143595
9,38.6875,0.64114,0.67597,0.80662,0.96765,0.95652,0.98691,0.89227,0.49895,0.61254,0.80317,0.00140295,0.00140295,0.00140295
10,42.7926,0.62299,0.60826,0.79944,0.95046,0.99275,0.98835,0.89094,0.49058,0.4673,0.81231,0.00136994,0.00136994,0.00136994
11,46.8379,0.62879,0.5839,0.80324,0.9514,0.94019,0.9724,0.89473,0.42963,0.50608,0.80641,0.00133693,0.00133693,0.00133693
12,51.0341,0.58117,0.53512,0.79712,0.96097,0.90818,0.98642,0.86912,0.60461,0.61524,0.81831,0.00130393,0.00130393,0.00130393
13,55.0809,0.64804,0.52757,0.80387,0.96665,0.9433,0.97871,0.88097,0.45699,0.53303,0.80334,0.00127092,0.00127092,0.00127092
14,59.0941,0.61296,0.50542,0.80003,0.96203,0.92085,0.96986,0.88123,0.47056,0.48097,0.81472,0.00123791,0.00123791,0.00123791
15,63.0621,0.60103,0.48547,0.80426,0.97591,0.97658,0.98219,0.86581,0.52163,0.43835,0.81245,0.00120491,0.00120491,0.00120491
16,67.2984,0.57429,0.47824,0.79056,0.97306,0.95148,0.97701,0.88753,0.4475,0.42917,0.80273,0.0011719,0.0011719,0.0011719
17,71.3358,0.58944,0.45711,0.79342,0.94698,0.88133,0.96273,0.8812,0.43514,0.59779,0.80386,0.00113889,0.00113889,0.00113889
18,75.3921,0.58874,0.44844,0.80349,0.97765,0.9917,0.97677,0.89174,0.45541,0.43961,0.81012,0.00110589,0.00110589,0.00110589
19,79.4109,0.56456,0.44321,0.78912,0.97537,0.9919,0.97982,0.91657,0.4308,0.4023,0.80033,0.00107288,0.00107288,0.00107288
20,83.6236,0.54701,0.41559,0.79723,0.97128,0.94859,0.98227,0.90743,0.40647,0.44327,0.79224,0.00103987,0.00103987,0.00103987
21,87.6261,0.55372,0.41152,0.78833,0.96655,0.98836,0.97583,0.90085,0.40142,0.38732,0.79822,0.00100687,0.00100687,0.00100687
22,91.6238,0.53929,0.40713,0.78601,0.95189,0.88215,0.97507,0.90087,0.39932,0.57175,0.79766,0.000973861,0.000973861,0.000973861
23,95.6213,0.53507,0.40027,0.79451,0.96655,0.96807,0.98391,0.90872,0.44469,0.44731,0.7956,0.000940855,0.000940855,0.000940855
24,99.7916,0.51833,0.40034,0.78602,0.96884,0.99151,0.98566,0.92052,0.38404,0.38335,0.78715,0.000907848,0.000907848,0.000907848
25,103.841,0.52429,0.3873,0.79228,0.9596,0.99275,0.98291,0.92916,0.37334,0.35689,0.79486,0.000874842,0.000874842,0.000874842
26,107.845,0.53117,0.38648,0.79135,0.95189,0.9487,0.98017,0.903,0.41284,0.42164,0.79613,0.000841835,0.000841835,0.000841835
27,112.019,0.51286,0.36777,0.79622,0.98063,0.99275,0.9852,0.92974,0.38681,0.35786,0.79185,0.000808828,0.000808828,0.000808828
28,116.132,0.50005,0.35305,0.78941,0.97755,0.99275,0.98176,0.92174,0.40353,0.3744,0.791,0.000775822,0.000775822,0.000775822
29,120.147,0.50575,0.35973,0.78902,0.97797,0.97826,0.9808,0.91241,0.38322,0.35948,0.78858,0.000742815,0.000742815,0.000742815
30,124.345,0.49879,0.34777,0.78784,0.98113,0.99002,0.97901,0.91394,0.39049,0.33361,0.79069,0.000709809,0.000709809,0.000709809
31,128.419,0.48773,0.33761,0.78188,0.9618,0.95343,0.98077,0.91834,0.3749,0.4026,0.78655,0.000676802,0.000676802,0.000676802
32,132.401,0.49032,0.34598,0.78722,0.97156,0.9756,0.97687,0.92495,0.35095,0.37376,0.79024,0.000643795,0.000643795,0.000643795
33,136.413,0.46624,0.335,0.77885,0.98105,0.99275,0.98217,0.91995,0.35891,0.32676,0.7893,0.000610789,0.000610789,0.000610789
34,140.583,0.47263,0.33233,0.7904,0.9537,0.96886,0.97922,0.93487,0.36357,0.39472,0.7897,0.000577782,0.000577782,0.000577782
35,144.611,0.48609,0.34333,0.78203,0.96832,0.97087,0.97975,0.92342,0.37136,0.3643,0.79114,0.000544776,0.000544776,0.000544776
36,148.614,0.48716,0.32583,0.78246,0.96318,0.96411,0.98307,0.93884,0.33944,0.38526,0.78782,0.000511769,0.000511769,0.000511769
37,152.624,0.46714,0.31929,0.7837,0.96745,0.96739,0.98263,0.93509,0.33339,0.36718,0.78709,0.000478762,0.000478762,0.000478762
38,156.873,0.44755,0.30427,0.78873,0.97677,0.95348,0.97332,0.93037,0.3284,0.37414,0.78432,0.000445756,0.000445756,0.000445756
39,160.872,0.44756,0.31197,0.7796,0.96752,0.96136,0.97481,0.91376,0.39595,0.39488,0.78319,0.000412749,0.000412749,0.000412749
