epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.42121,1.94989,5.87243,1.11631,3e-05,0.00362,2e-05,0,1.38314,4.15035,0.87757,0.0003625,0.0003625,0.0003625
2,13.6944,1.24325,2.63865,0.90397,0.00125,0.319,0.13929,0.09022,1.37385,3.9157,0.96931,0.000722897,0.000722897,0.000722897
3,19.9488,1.24086,2.03261,0.91952,0.8822,0.0345,0.70728,0.47569,1.49476,2.65134,1.05565,0.00106844,0.00106844,0.00106844
4,26.2736,1.13506,1.56936,0.90788,0.89554,0.58361,0.90889,0.61881,1.30235,1.67492,1.01127,0.00117575,0.00117575,0.00117575
5,32.1947,1.08293,1.23067,0.88882,0.80842,0.76964,0.87113,0.58176,1.2959,1.41252,0.96416,0.001151,0.001151,0.001151
6,38.0636,1.06012,1.07407,0.8908,0.90035,0.79155,0.90397,0.62066,1.22877,1.13091,0.95884,0.00112625,0.00112625,0.00112625
7,43.9421,1.00743,0.95634,0.88071,0.89922,0.89565,0.93497,0.68573,1.06841,0.81025,0.9248,0.0011015,0.0011015,0.0011015
8,50.0438,0.9643,0.84848,0.87152,0.90684,0.89864,0.93244,0.65742,1.09783,0.79766,0.93439,0.00107675,0.00107675,0.00107675
9,55.9662,0.96538,0.77194,0.87474,0.78357,0.86252,0.88108,0.60795,1.23236,0.87542,0.94485,0.001052,0.001052,0.001052
10,61.8408,0.94067,0.76078,0.86118,0.90213,0.90906,0.9407,0.70027,0.98648,0.74628,0.91876,0.00102725,0.00102725,0.00102725
11,67.9919,0.94038,0.71382,0.86621,0.81471,0.85656,0.89752,0.65909,1.05175,0.81273,0.93735,0.0010025,0.0010025,0.0010025
12,73.9122,0.89477,0.66165,0.85566,0.91326,0.90863,0.95181,0.70716,1.05515,0.6222,0.95287,0.00097775,0.00097775,0.00097775
13,79.8381,0.90222,0.66153,0.85585,0.92709,0.89131,0.93811,0.68762,1.09996,0.64894,0.93878,0.000953,0.000953,0.000953
14,85.6874,0.86459,0.62037,0.84259,0.93187,0.90638,0.94434,0.71556,0.95685,0.58264,0.93138,0.00092825,0.00092825,0.00092825
15,91.7171,0.87812,0.60551,0.84881,0.91693,0.8635,0.92964,0.69003,1.00289,0.72743,0.91293,0.0009035,0.0009035,0.0009035
16,97.6359,0.86516,0.59574,0.85275,0.92053,0.89141,0.95035,0.71998,0.96618,0.62063,0.90975,0.00087875,0.00087875,0.00087875
17,103.549,0.86651,0.58955,0.85129,0.93386,0.89243,0.93869,0.73244,1.11075,0.60889,0.97488,0.000854,0.000854,0.000854
18,109.45,0.847,0.56219,0.85697,0.89897,0.93572,0.96498,0.71672,0.96184,0.58869,0.91052,0.00082925,0.00082925,0.00082925
19,115.604,0.834,0.56769,0.83546,0.9194,0.90393,0.94623,0.69145,1.04312,0.62339,0.91264,0.0008045,0.0008045,0.0008045
20,121.617,0.83451,0.54181,0.84353,0.93617,0.94033,0.96984,0.72976,0.96088,0.51261,0.89156,0.00077975,0.00077975,0.00077975
21,127.505,0.81104,0.53198,0.84592,0.93102,0.91381,0.96851,0.73282,0.96406,0.56104,0.91141,0.000755,0.000755,0.000755
22,133.436,0.81595,0.51377,0.84804,0.94251,0.93122,0.95574,0.72896,0.97089,0.5371,0.9154,0.00073025,0.00073025,0.00073025
23,139.519,0.77945,0.50798,0.83522,0.91625,0.94075,0.95489,0.72425,0.95184,0.55842,0.89671,0.0007055,0.0007055,0.0007055
24,145.447,0.80255,0.50527,0.84373,0.95105,0.91235,0.95576,0.72119,0.9663,0.5996,0.90005,0.00068075,0.00068075,0.00068075
25,151.344,0.80695,0.48912,0.84059,0.93342,0.92534,0.95355,0.7285,0.97964,0.53464,0.91064,0.000656,0.000656,0.000656
26,157.135,0.77535,0.48215,0.83906,0.9471,0.94268,0.96456,0.74182,0.91666,0.48054,0.89305,0.00063125,0.00063125,0.00063125
27,163.224,0.77992,0.47499,0.83785,0.95015,0.92235,0.96713,0.74091,0.93112,0.49289,0.90018,0.0006065,0.0006065,0.0006065
28,169.156,0.76522,0.46815,0.83511,0.92779,0.9168,0.95917,0.73183,0.92848,0.53537,0.88651,0.00058175,0.00058175,0.00058175
29,175.048,0.7694,0.45945,0.83687,0.93853,0.92936,0.96344,0.73381,0.97367,0.56694,0.89578,0.000557,0.000557,0.000557
30,180.995,0.76024,0.44159,0.83046,0.94919,0.91147,0.95758,0.73542,0.91935,0.57471,0.88666,0.00053225,0.00053225,0.00053225
