epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.2609,1.03068,1.56715,1.36967,0.66814,0.79322,0.77341,0.52226,1.06803,1.17098,1.31026,0.000302198,0.000302198,0.000302198
2,88.357,1.11165,1.33265,1.41373,0.68966,0.74248,0.79615,0.53341,1.11114,1.32709,1.40075,0.000593215,0.000593215,0.000593215
3,132.026,1.1205,1.3147,1.41764,0.79295,0.74181,0.80609,0.54993,1.10314,1.17882,1.34865,0.000872234,0.000872234,0.000872234
4,175.796,1.07446,1.21786,1.38821,0.75503,0.75434,0.82151,0.57431,1.0508,1.15529,1.3241,0.000855005,0.000855005,0.000855005
5,220.095,1.06072,1.16911,1.37385,0.79307,0.78226,0.8158,0.57558,1.04925,1.11591,1.32813,0.000837007,0.000837007,0.000837007
6,263.653,1.00327,1.09717,1.34313,0.71674,0.73701,0.81829,0.58167,1.06811,1.14952,1.31605,0.000819009,0.000819009,0.000819009
7,307.132,0.98321,1.0728,1.32317,0.83289,0.83356,0.87941,0.62954,0.97934,0.93396,1.2609,0.000801011,0.000801011,0.000801011
8,350.688,0.95056,1.0315,1.30616,0.82834,0.85646,0.87711,0.62989,0.9791,0.914,1.2601,0.000783013,0.000783013,0.000783013
9,394.235,0.94262,1.00133,1.3039,0.82575,0.85528,0.8856,0.64114,0.92154,0.91854,1.22545,0.000765014,0.000765014,0.000765014
10,437.722,0.91527,0.96848,1.28159,0.80576,0.82646,0.85616,0.6275,0.94096,0.94251,1.22913,0.000747016,0.000747016,0.000747016
11,480.347,0.87702,0.9321,1.25494,0.81021,0.87449,0.88501,0.6291,0.9533,0.89451,1.2377,0.000729018,0.000729018,0.000729018
12,523.572,0.87822,0.92262,1.25681,0.84789,0.86553,0.88538,0.64336,0.93598,0.87141,1.23142,0.00071102,0.00071102,0.00071102
13,567.792,0.84812,0.8762,1.23663,0.85241,0.86876,0.89585,0.66782,0.89969,0.81472,1.22429,0.000693022,0.000693022,0.000693022
14,612.126,0.8344,0.87869,1.2339,0.8728,0.85603,0.89423,0.66665,0.88781,0.82179,1.21338,0.000675023,0.000675023,0.000675023
15,655.26,0.82122,0.83429,1.23006,0.86328,0.86835,0.90202,0.66004,0.93351,0.81422,1.23426,0.000657025,0.000657025,0.000657025
16,698.6,0.80532,0.8127,1.21079,0.8815,0.87226,0.90832,0.66213,0.92643,0.78723,1.23867,0.000639027,0.000639027,0.000639027
17,741.816,0.78403,0.79849,1.19421,0.85054,0.85904,0.89073,0.6604,0.8839,0.80881,1.19924,0.000621029,0.000621029,0.000621029
18,785.187,0.77873,0.79061,1.19671,0.88863,0.8721,0.91241,0.69289,0.8361,0.73665,1.17056,0.000603031,0.000603031,0.000603031
19,829.399,0.7517,0.76782,1.1813,0.85071,0.86294,0.89338,0.68273,0.84408,0.80378,1.1968,0.000585032,0.000585032,0.000585032
