epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.82892,1.28108,3.59278,1.43992,0.013,0.3991,0.20702,0.12324,1.02473,3.54868,1.2222,0.00016362,0.00016362,0.00016362
2,10.8112,1.15184,2.31822,1.34712,0.90035,0.19973,0.34913,0.21253,1.13409,3.00444,1.28415,0.000329671,0.000329671,0.000329671
3,15.9603,1.09482,1.59331,1.31339,0.87788,0.27291,0.38613,0.25047,1.14925,2.55602,1.34807,0.000488882,0.000488882,0.000488882
4,21.1641,1.04502,1.39135,1.27044,0.81303,0.21262,0.34562,0.20472,1.3178,2.95807,1.4671,0.000641254,0.000641254,0.000641254
5,26.1372,1.01864,1.29163,1.24822,0.74364,0.39136,0.5716,0.3624,1.23206,2.23442,1.37838,0.000786787,0.000786787,0.000786787
6,31.0653,0.99441,1.23109,1.23689,0.65498,0.54082,0.66434,0.43358,1.19449,1.63712,1.37825,0.000819009,0.000819009,0.000819009
7,36.0125,0.94754,1.16168,1.20738,0.76519,0.62276,0.75839,0.49375,1.17685,1.62152,1.31804,0.000801011,0.000801011,0.000801011
8,40.9628,0.91653,1.10464,1.18739,0.72336,0.65181,0.72512,0.4575,1.19719,1.55986,1.37923,0.000783013,0.000783013,0.000783013
9,45.878,0.92679,1.07584,1.19236,0.69461,0.67627,0.73737,0.52913,1.09618,1.36116,1.29955,0.000765014,0.000765014,0.000765014
10,51.1314,0.89528,1.03156,1.17122,0.68655,0.72506,0.75603,0.51728,1.10106,1.28245,1.29915,0.000747016,0.000747016,0.000747016
11,56.1406,0.87483,0.99973,1.15914,0.78054,0.71627,0.79976,0.53698,1.11171,1.1874,1.30382,0.000729018,0.000729018,0.000729018
12,61.147,0.86771,0.97253,1.153,0.75279,0.69262,0.76395,0.53045,1.10734,1.30306,1.30429,0.00071102,0.00071102,0.00071102
13,66.1092,0.87171,0.96594,1.15385,0.78391,0.72142,0.79735,0.5497,1.08766,1.2111,1.29843,0.000693022,0.000693022,0.000693022
