epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7263,1.26188,3.01059,1.41019,0.8742,0.20015,0.38305,0.2201,1.32149,2.56247,1.33241,0.000273914,0.000273914,0.000273914
2,28.8814,1.16028,1.76901,1.3185,0.44673,0.54865,0.53382,0.31981,1.35253,1.94982,1.41897,0.00054066,0.00054066,0.00054066
3,42.6983,1.15107,1.58789,1.30114,0.55412,0.68088,0.67351,0.41694,1.31282,1.74962,1.36258,0.00079641,0.00079641,0.00079641
4,56.1514,1.10624,1.39993,1.26866,0.69521,0.67523,0.72567,0.45796,1.2523,1.41741,1.28809,0.00078352,0.00078352,0.00078352
5,69.6433,1.079,1.32034,1.25541,0.72767,0.73984,0.74993,0.48906,1.17452,1.44408,1.23917,0.000767026,0.000767026,0.000767026
6,83.1971,1.05726,1.25777,1.23959,0.67871,0.75648,0.73774,0.49164,1.19076,1.25906,1.23369,0.000750533,0.000750533,0.000750533
7,96.7079,1.02964,1.18953,1.22747,0.71347,0.76858,0.79362,0.51869,1.14978,1.1643,1.21183,0.00073404,0.00073404,0.00073404
8,110.198,1.01645,1.14414,1.21631,0.77385,0.7618,0.82142,0.55977,1.13723,1.27294,1.22356,0.000717546,0.000717546,0.000717546
9,123.618,0.98489,1.09623,1.20247,0.7398,0.72655,0.78715,0.53701,1.15596,1.18479,1.22229,0.000701053,0.000701053,0.000701053
10,137.169,0.99368,1.08301,1.2082,0.77779,0.76071,0.8169,0.55154,1.13202,1.29721,1.21362,0.000684559,0.000684559,0.000684559
11,150.913,0.97034,1.02728,1.18554,0.81392,0.75392,0.83773,0.58412,1.11895,1.13977,1.20874,0.000668066,0.000668066,0.000668066
12,164.449,0.96669,1.00599,1.1873,0.83101,0.75169,0.84723,0.57329,1.14214,1.09343,1.23169,0.000651573,0.000651573,0.000651573
13,177.902,0.94235,0.97626,1.16809,0.80757,0.78607,0.85153,0.59865,1.09477,1.08482,1.18534,0.000635079,0.000635079,0.000635079
14,191.356,0.94494,0.95967,1.17177,0.816,0.79595,0.85996,0.59552,1.08031,1.02827,1.17417,0.000618586,0.000618586,0.000618586
15,204.722,0.9253,0.93559,1.16201,0.82102,0.82594,0.85693,0.59558,1.10789,0.99364,1.22094,0.000602092,0.000602092,0.000602092
16,218.102,0.91509,0.91567,1.15884,0.87779,0.79118,0.86289,0.60689,1.08524,0.95106,1.20154,0.000585599,0.000585599,0.000585599
17,231.581,0.9027,0.89089,1.14666,0.84555,0.82338,0.87431,0.6057,1.0988,0.97229,1.19166,0.000569106,0.000569106,0.000569106
18,245.026,0.89669,0.88492,1.14654,0.83115,0.81822,0.86595,0.60661,1.08666,0.97637,1.19328,0.000552612,0.000552612,0.000552612
19,258.775,0.88127,0.86724,1.13917,0.80755,0.7959,0.83991,0.56651,1.10747,0.99301,1.20484,0.000536119,0.000536119,0.000536119
20,273.155,0.88542,0.8561,1.13496,0.82616,0.82653,0.86084,0.60809,1.05888,0.92795,1.16202,0.000519625,0.000519625,0.000519625
21,287.049,0.87312,0.83595,1.12961,0.83209,0.8347,0.86911,0.61387,1.06287,0.89906,1.17488,0.000503132,0.000503132,0.000503132
22,300.873,0.86753,0.82125,1.12342,0.82495,0.78616,0.8489,0.59786,1.06999,0.92293,1.18095,0.000486639,0.000486639,0.000486639
