epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.85136,1.90314,4.91627,1.45764,0.02302,0.30575,0.03713,0.02189,1.54733,8.14206,1.24186,0.000170838,0.000170838,0.000170838
2,13.4817,1.45346,3.46821,1.19521,0.11741,0.08974,0.03392,0.0211,1.65138,84.3431,1.31454,0.000339317,0.000339317,0.000339317
3,20.1734,1.48698,3.21662,1.20275,0.00365,0.04895,0.00212,0.00137,1.43633,94.9165,1.28494,0.000500853,0.000500853,0.000500853
4,26.7041,1.43796,5.1852,1.20228,0.62401,0.13473,0.11175,0.06605,1.44742,35.3535,1.32577,0.000494756,0.000494756,0.000494756
5,34.2496,1.50187,7.46691,1.29776,0.79441,0.11562,0.17214,0.10514,1.40361,9.84461,1.28126,0.000484341,0.000484341,0.000484341
6,41.8027,1.65311,3.21431,1.29902,0.06392,0.01888,0.0338,0.01404,1.40557,inf,1.27456,0.000473926,0.000473926,0.000473926
7,48.4706,1.35951,2.66722,1.15194,0.15702,0.09235,0.06644,0.04866,1.24626,inf,1.21707,0.000463511,0.000463511,0.000463511
8,54.9435,1.26007,2.51756,1.16675,0.26576,0.15784,0.14815,0.10577,1.2913,46.7351,1.20409,0.000453096,0.000453096,0.000453096
9,61.624,1.33219,2.82704,1.19809,0.17501,0.0871,0.04386,0.02782,1.33223,inf,1.21568,0.000442682,0.000442682,0.000442682
10,68.1643,1.33358,2.10616,1.15136,0.338,0.22757,0.11993,0.08202,1.25028,15.7662,1.14641,0.000432267,0.000432267,0.000432267
11,74.5651,1.3183,1.85373,1.19486,0.80359,0.29278,0.30923,0.22128,1.153,1.52411,1.1199,0.000421852,0.000421852,0.000421852
12,81.9453,1.24629,1.8819,1.15184,0.75432,0.26372,0.2995,0.20449,1.20031,1.43901,1.14067,0.000411437,0.000411437,0.000411437
13,88.4202,1.19945,1.63686,1.11181,0.89833,0.32638,0.34956,0.23189,1.24238,1.33805,1.13825,0.000401022,0.000401022,0.000401022
14,95.8899,1.16173,1.38168,1.07494,0.93924,0.32738,0.4337,0.3067,1.13194,1.45901,1.08892,0.000390608,0.000390608,0.000390608
15,103.419,1.24922,1.54924,1.20851,0.69151,0.36062,0.32391,0.24548,1.17555,9.48679,1.11938,0.000380193,0.000380193,0.000380193
16,109.968,1.16289,1.40781,1.08985,0.62407,0.41357,0.35428,0.2631,1.17623,7.57204,1.11195,0.000369778,0.000369778,0.000369778
17,116.344,1.15904,1.28757,1.09589,0.58658,0.4547,0.44567,0.32008,1.12292,1.2874,1.08676,0.000359363,0.000359363,0.000359363
18,123.869,1.14344,1.23557,1.09829,0.83116,0.43796,0.48759,0.35272,1.109,1.21191,1.08089,0.000348948,0.000348948,0.000348948
19,131.356,1.12299,1.18036,1.07412,0.79753,0.40062,0.4933,0.33714,1.11925,1.09643,1.1031,0.000338534,0.000338534,0.000338534
20,137.807,1.09478,0.96846,1.04827,0.84217,0.4791,0.50343,0.34782,1.12801,1.08029,1.09882,0.000328119,0.000328119,0.000328119
21,144.297,1.07393,0.97277,1.03934,0.81693,0.48046,0.58966,0.4256,1.1158,1.01536,1.08727,0.000317704,0.000317704,0.000317704
22,151.815,1.09978,0.94622,1.09257,0.58741,0.56166,0.59232,0.42492,1.11931,1.04705,1.09757,0.000307289,0.000307289,0.000307289
23,158.281,1.10456,1.02747,1.05912,0.86762,0.47049,0.60317,0.42581,1.14698,0.99925,1.10887,0.000296874,0.000296874,0.000296874
24,165.715,1.02904,0.95253,1.01269,0.53648,0.57662,0.53834,0.3542,1.15404,1.01189,1.11084,0.00028646,0.00028646,0.00028646
25,172.285,1.04033,0.82552,1.01975,0.72358,0.42063,0.53462,0.35893,1.16218,1.00808,1.12273,0.000276045,0.000276045,0.000276045
26,178.814,1.00147,0.86906,1.03451,0.76238,0.49387,0.57962,0.40013,1.14788,1.02243,1.11419,0.00026563,0.00026563,0.00026563
27,185.213,1.00551,0.79303,1.0059,0.73764,0.49166,0.59112,0.41348,1.14781,1.02958,1.11161,0.000255215,0.000255215,0.000255215
